GENOTYPE,d.T3.x,g.T3.x,a.T3.x,d.T.x,g.T.x,a.T.x,Total.Tocotrienols.x,Total.Tocopherols.x,Total.Tocochromanols.x,d.T3.y,g.T3.y,a.T3.y,d.T.y,g.T.y,a.T.y,Total.Tocotrienols.y,Total.Tocopherols.y,Total.Tocochromanols.y
Ames28360,0.271019433,9.884189421,7.968095861,0.626245208,32.06148986,19.08549252,18.18256205,51.81802477,70.28886356,0.271019433,11.676224148,7.968095861,0.956144235,33.380656914,20.872454475,18.18256205,51.81802477,70.28886356
Ames28361,2.386988617,16.59195019,9.80242556,0.850872187,51.27134351,-0.193051974,28.87010746,52.07145322,81.1731418,2.386988617,18.383984917,9.80242556,1.180771214,52.590510564,1.593909981,28.87010746,52.07145322,81.1731418
Ames28362,0.382844919,21.3183468,4.539063667,3.562294278,63.31755014,3.866300195,26.16090331,70.91303355,97.04117739,0.382844919,23.110381527,4.539063667,3.892193305,64.636717194,5.65326215,26.16090331,70.91303355,97.04117739
Ames28365,0.29367955,9.741994218,8.089258937,2.581346455,96.14481321,0.34309272,18.02822634,98.95591231,117.7295516,0.29367955,11.534028945,8.089258937,2.911245482,97.463980264,2.130054675,18.02822634,98.95591231,117.7295516
Ames28366,0.490785968,17.73299134,3.391832385,1.046528934,34.74701349,1.320813471,21.85288456,38.1107805,60.64429425,0.490785968,19.525026067,3.391832385,1.376427961,36.066180544,3.107775426,21.85288456,38.1107805,60.64429425
Ames28367,1.206525299,9.228085666,12.06536289,0.406182825,18.89728537,6.609553093,22.8638232,26.29557591,49.21146307,1.206525299,11.020120393,12.06536289,0.736081852,20.216452424,8.396515048,22.8638232,26.29557591,49.21146307
Ames28411,0.306933481,4.630580569,7.698803598,0.696230325,18.92632929,4.522314419,12.84853499,24.13659384,36.88346794,0.306933481,6.422615296,7.698803598,1.026129352,20.245496344,6.309276374,12.84853499,24.13659384,36.88346794
Ames28412,2.136564541,38.72176186,6.811045354,0.867396013,35.7927871,1.609113552,47.92292285,38.35051226,86.66207436,2.136564541,40.513796587,6.811045354,1.19729504,37.111954154,3.396075507,47.92292285,38.35051226,86.66207436
Ames28413,2.844572215,38.89910809,5.384717088,1.696072723,51.92854272,1.027062672,47.06715223,54.73718051,102.6337036,2.844572215,40.691142817,5.384717088,2.02597175,53.247709774,2.814024627,47.06715223,54.73718051,102.6337036
Ames28414,0.478930243,36.19762895,11.31373311,0.857371013,44.1213905,10.48514195,47.88221985,55.33264128,103.6182648,0.478930243,37.989663677,11.31373311,1.18727004,45.440557554,12.272103905,47.88221985,55.33264128,103.6182648
