"Year","Tier","Range","Pass","Gen","Pedigree","Source","id"
2015,2,23,12,87,"ND254","PI 550542","2015_23_12"
2015,2,38,31,555,"A257","Ames 23407","2015_38_31"
2015,3,7,44,774,"Oh422","NSL 68211","2015_7_44"
2015,3,16,48,1053,"779","PI 601376","2015_16_48"
2015,3,22,65,1251,"Va39","Ames 19012","2015_22_65"
2015,3,26,55,1363,"PHPR5","PI 559945","2015_26_55"
2015,3,23,60,1276,"Mo39","Ames 28937","2015_23_60"
2015,2,28,31,255,"W 5579","Ames 22058","2015_28_31"
2015,2,23,24,99,"4659 INBRED","PI 415090","2015_23_24"
2015,3,2,60,643,"A670","Ames 23494","2015_2_60"
2015,2,34,9,415,"C7e","Ames 22013","2015_34_9"
2015,3,11,64,916,"B90","PI 527699","2015_11_64"
2015,2,37,31,525,"ND249","PI 550530","2015_37_31"
2015,2,33,26,400,"OC17","PI 596504","2015_33_26"
2015,3,9,59,851,"H19","Ames 26775","2015_9_59"
2015,2,24,23,128,"A661","PI 607521","2015_24_23"
2015,2,28,23,247,"Me 100","Ames 22038","2015_28_23"
2015,3,35,47,1628,"A171","NSL 42878","2015_35_47"
2015,3,8,58,819,"PHG83","PI 601229","2015_8_58"
2015,3,11,41,895,"LIBC 4","PI 555650","2015_11_41"
2015,2,26,2,168,"G15 T134","PI 340824","2015_26_2"
2015,2,31,17,332,"A619HT","Ames 23458","2015_31_17"
2015,2,27,3,199,"C13","PI 587126","2015_27_3"
2015,2,39,21,576,"NC364","Ames 27178","2015_39_21"
2015,3,37,51,1692,"E680-2-1-3(S5) INBRED","PI 221788","2015_37_51"
2015,2,29,32,286,"W37A","NSL 30073","2015_29_32"
2015,3,15,43,1017,"OC14","PI 596501","2015_15_43"
2015,2,32,17,362,"A71","NSL 42875","2015_32_17"
2015,3,35,60,1641,"PHG39","PI 600981","2015_35_60"
2015,3,33,51,1571,"NC302","Ames 27147","2015_33_51"
2015,2,21,16,31,"Me 123","Ames 22040","2015_21_16"
2015,3,26,60,1367,"A644","Ames 23479","2015_26_60"
2015,2,32,3,349,"CM155","Ames 27034","2015_32_3"
2015,3,39,43,1746,"Va46","Ames 19013","2015_39_43"
2015,3,7,47,777,"MS200","Ames 24737","2015_7_47"
2015,2,35,4,440,"A619Ht2","Ames 25220","2015_35_4"
2015,3,23,61,1277,"Va24","Ames 19008","2015_23_61"
2015,2,40,15,600,"CHI-41","PI 391660","2015_40_15"
