"Year","Tier","Range","Pass","Gen","Pedigree","Source","id"
2015,3,23,64,1280,"Va38","Ames 19011","2015_23_64"
2015,3,10,45,867,"B37 TRf","Ames 19283","2015_10_45"
2015,2,39,25,580,"PHK93","PI 548800","2015_39_25"
2015,3,22,50,1237,"PHW79","PI 601576","2015_22_50"
2015,2,32,27,371,"T8354 INBRED","PI 267170","2015_32_27"
2015,3,28,55,1424,"J47","NSL 22984","2015_28_55"
2015,3,3,46,655,"H107","Ames 19318","2015_3_46"
2015,3,33,38,1559,"Mo6","PI 558524","2015_33_38"
2015,3,14,64,1006,"R909","NSL 30909","2015_14_64"
2015,3,38,58,1731,"TZSTRI112","PI 639936","2015_38_58"
2015,2,34,32,436,"793","PI 601492","2015_34_32"
2015,3,30,62,1490,"CI 28B","Ames 26122","2015_30_62"
2015,3,26,65,1372,"WX38-11","Ames 26743","2015_26_65"
2015,3,5,66,1,"B73","14SJMY:Breed:0001","2015_5_66"
2015,3,3,64,673,"WXWF9","Ames 26758","2015_3_64"
2015,2,38,20,544,"CH701-30","Ames 27069","2015_38_20"
2015,3,26,42,1350,"WIL903","PI 601686","2015_26_42"
2015,3,29,56,1455,"RB-53 INBR.FR.YELPEARL","PI 340868","2015_29_56"
2015,2,31,30,344,"W 6720-1","Ames 22062","2015_31_30"
2015,3,16,47,1052,"778","PI 601375","2015_16_47"
2015,2,34,6,412,"S 59A","PI 535919","2015_34_6"
2015,3,41,48,1807,"CI 89B","CIze 89","2015_41_48"
2015,3,19,66,1160,"H122w","Ames 26805","2015_19_66"
2015,2,25,19,153,"4226","NSL 30904","2015_25_19"
2015,2,41,21,625,"LH57","PI 601317","2015_41_21"
2015,2,39,4,559,"R223","NSL 42804","2015_39_4"
2015,3,9,57,849,"WXM14","Ames 26755","2015_9_57"
2015,3,36,58,1670,"NC304","Ames 27148","2015_36_58"
2015,3,16,50,1055,"Ia5125B","Ames 27117","2015_16_50"
2015,3,19,46,1142,"B104","PI 594047","2015_19_46"
2015,3,19,38,1134,"B45","PI 550468","2015_19_38"
2015,3,34,56,1607,"NC356","Ames 27174","2015_34_56"
2015,3,10,47,869,"H114","Ames 22751","2015_10_47"
2015,2,40,29,614,"ICI 193","PI 559380","2015_40_29"
2015,3,31,39,1499,"B164","Ames 27066","2015_31_39"
2015,3,14,62,1004,"R75","NSL 30874","2015_14_62"
2015,3,22,61,1247,"NP87","PI 542716","2015_22_61"
2015,2,39,30,584,"R222A","NSL 29898","2015_39_30"
2015,3,11,59,912,"N218","PI 596357","2015_11_59"
2015,2,23,17,92,"991","PI 593460","2015_23_17"
2015,2,41,8,620,"W153R","PI 587154","2015_41_8"
2015,3,31,54,1512,"CI 21E","CIze 21","2015_31_54"
2015,3,24,68,1314,"E683-1-2-1(S5) INBRED","PI 221789","2015_24_68"
2015,2,28,28,252,"CO125","Ames 27106","2015_28_28"
2015,3,33,52,1572,"NC306","Ames 27149","2015_33_52"
2015,2,40,18,603,"Q381","PI 601190","2015_40_18"
2015,3,21,45,1201,"Mo44","Ames 28939","2015_21_45"
2015,3,14,55,998,"AD SA5","Ames 29005","2015_14_55"
2015,2,21,30,45,"A575","Ames 23452","2015_21_30"
2015,3,8,51,812,"N525","PI 594073","2015_8_51"
2015,2,38,25,549,"AD SA2","Ames 29002","2015_38_25"
2015,2,38,18,542,"CO236","Ames 27046","2015_38_18"
2015,3,20,42,1168,"NC266","Ames 28414","2015_20_42"
2015,3,39,52,1755,"L578","Ames 27132","2015_39_52"
2015,3,28,65,1433,"B49","PI 550443","2015_28_65"
2015,3,8,52,813,"N533","PI 594079","2015_8_52"
2015,3,3,42,651,"AD 352","Ames 28980","2015_3_42"
2015,3,3,51,660,"R103","NSL 30879","2015_3_51"
2015,3,11,50,903,"B102","PI 594045","2015_11_50"
2015,3,40,49,1782,"KYS","NSL 22633","2015_40_49"
2015,3,3,60,669,"AusTRCF 305846","NSL 437920","2015_3_60"
2015,3,35,51,1632,"OC11","PI 553064","2015_35_51"
2015,2,30,16,301,"A166N","PI 406109","2015_30_16"
2015,3,32,66,1555,"CI 84B","Ames 26136","2015_32_66"
2015,3,34,44,1595,"CI 127","CIze 127","2015_34_44"
2015,3,30,51,1480,"AD Sg1501-5","Ames 29027","2015_30_51"
2015,3,25,42,1320,"A579N","PI 406123","2015_25_42"
2015,3,5,44,715,"B105","PI 594048","2015_5_44"
2015,3,41,53,1808,"SC 359","NSL 53095","2015_41_53"
2015,2,37,22,517,"A328NW","PI 406115","2015_37_22"
2015,2,27,14,209,"S 17","PI 535913","2015_27_14"
2015,2,31,14,330,"CR14","PI 601683","2015_31_14"
2015,3,17,41,1077,"B14","NSL 65866","2015_17_41"
2015,3,2,44,635,"89S4083","Ames 12814","2015_2_44"
2015,3,23,58,1274,"NC266B","Ames 28415","2015_23_58"
2015,2,37,14,509,"NO. 1197 INBRED","PI 303939","2015_37_14"
2015,2,40,9,594,"N504","PI 594053","2015_40_9"
2015,3,25,45,1323,"R84","NSL 30877","2015_25_45"
2015,3,22,45,1232,"INBRED 321","PI 186229","2015_22_45"
2015,2,24,3,109,"ABPl 5","Ames 22794","2015_24_3"
2015,3,23,57,1273,"Mo401","Ames 28360","2015_23_57"
2015,3,35,54,1635,"Mo314ae","NSL 67799","2015_35_54"
2015,2,31,28,342,"MS57","Ames 24709","2015_31_28"
2015,3,10,53,875,"MS223","Ames 24748","2015_10_53"
2015,3,33,55,1575,"NC230","Ames 12731","2015_33_55"
2015,3,17,58,1092,"W570","PI 520771","2015_17_58"
2015,2,30,24,308,"4578 INBRED","PI 415086","2015_30_24"
2015,2,26,11,1,"B73","14SJMY:Breed:0001","2015_26_11"
2015,3,35,38,1620,"CI28A Goodman-Buckler","Ames 31537","2015_35_38"
2015,3,10,56,878,"WXL317","Ames 26754","2015_10_56"
2015,3,2,58,641,"A650","Ames 23483","2015_2_58"
2015,3,12,53,937,"N519","PI 594068","2015_12_53"
2015,3,13,60,972,"R004","NSL 30866","2015_13_60"
2015,3,32,39,1529,"AusTRCF 306356","NSL 438042","2015_32_39"
2015,3,28,39,1409,"H106w","Ames 26800","2015_28_39"
2015,2,36,28,492,"Pa356","PI 531081","2015_36_28"
2015,3,13,38,952,"PHG29","PI 601270","2015_13_38"
2015,3,23,55,1271,"Oh605","PI 639111","2015_23_55"
2015,3,40,56,1789,"NC324","Ames 27158","2015_40_56"
2015,2,28,14,240,"C8 pseudo","Ames 22014","2015_28_14"
2015,3,40,37,1771,"SC102","Ames 10273","2015_40_37"
2015,3,16,55,1060,"PHK35","PI 601777","2015_16_55"
2015,3,10,48,870,"Tx738","Ames 22765","2015_10_48"
2015,3,14,43,987,"AusTRCF 306297","NSL 437983","2015_14_43"
2015,3,4,39,678,"AD 147","Ames 28975","2015_4_39"
2015,3,4,37,677,"A632.75 A1 A2 C1 R1-r B1 Pl1","Ames 27451","2015_4_37"
2015,3,39,63,1766,"Hi67","PI 641249","2015_39_63"
2015,2,36,8,474,"AD 139 DS","Ames 28971","2015_36_8"
2015,3,8,50,811,"N518","PI 594067","2015_8_50"
2015,2,34,18,423,"A201","Ames 23399","2015_34_18"
2015,3,4,50,689,"PHN34","PI 543843","2015_4_50"
2015,2,25,23,157,"A677","Ames 23501","2015_25_23"
2015,3,13,68,980,"A657","NSL 81598","2015_13_68"
2015,2,27,24,218,"LH181","PI 547087","2015_27_24"
2015,3,14,63,1005,"R181","NSL 30895","2015_14_63"
2015,3,37,44,1685,"AusTRCF 306269","NSL 437956","2015_37_44"
2015,2,34,27,431,"A572","Ames 23451","2015_34_27"
2015,3,3,44,653,"AD 187-2","Ames 28983","2015_3_44"
2015,3,24,63,1309,"Mo511W","Ames 28945","2015_24_63"
2015,2,34,13,418,"ND253","PI 550541","2015_34_13"
2015,3,22,66,1252,"Mo17TRf","Ames 19287","2015_22_66"
2015,3,28,45,1415,"AD Sg1501-1","Ames 29023","2015_28_45"
2015,2,29,16,271,"CG10","Ames 24585","2015_29_16"
2015,3,29,40,1440,"AusTRCF 306296","NSL 437982","2015_29_40"
2015,3,19,57,1151,"H60","Ames 25559","2015_19_57"
2015,3,33,58,1578,"Va14","Ames 27192","2015_33_58"
2015,2,38,28,552,"R222","NSL 29319","2015_38_28"
2015,2,29,24,278,"CM99","Ames 27031","2015_29_24"
2015,3,34,37,1589,"H23w","Ames 26777","2015_34_37"
2015,2,30,23,307,"4566 INBRED","PI 415085","2015_30_23"
2015,3,36,50,1662,"CI 46","Ames 26130","2015_36_50"
2015,3,2,51,638,"A286","Ames 23413","2015_2_51"
2015,2,25,29,163,"MS74","Ames 24714","2015_25_29"
2015,3,10,59,881,"TZU-CHIAO-HSI-WU 105","PI 391678","2015_10_59"
2015,3,25,68,1344,"Seagull Seventeen","PI 600751","2015_25_68"
2015,3,17,53,1087,"NC330","Ames 27161","2015_17_53"
2015,3,29,57,1456,"89S4117","Ames 12818","2015_29_57"
2015,2,28,10,236,"A652","Ames 23485","2015_28_10"
2015,2,23,2,78,"S 65","PI 535921","2015_23_2"
2015,3,12,39,923,"ND301","PI 550491","2015_12_39"
2015,2,26,15,180,"W153R","NSL 30059","2015_26_15"
2015,3,31,52,1510,"T IEH 84","PI 391663","2015_31_52"
2015,2,40,3,588,"PHBA6","PI 559935","2015_40_3"
2015,3,21,48,1204,"AD SA9","Ames 29009","2015_21_48"
2015,2,39,15,570,"H108","Ames 26801","2015_39_15"
2015,3,37,55,1696,"CML 103","Ames 27081","2015_37_55"
2015,3,34,43,1594,"CI 91B","CIze 91","2015_34_43"
2015,2,22,23,69,"CO106","Ames 27105","2015_22_23"
2015,2,30,3,289,"PHJ89","PI 548798","2015_30_3"
2015,3,5,38,709,"R-53-1 INBR.FR.YELPEARL","PI 340866","2015_5_38"
2015,2,24,2,108,"W59E","Ames 22767","2015_24_2"
2015,3,29,39,1439,"AusTRCF 306273","NSL 437959","2015_29_39"
2015,3,29,38,1438,"AusTRCF 306242","NSL 437937","2015_29_38"
2015,3,12,45,929,"B97","PI 564682","2015_12_45"
2015,3,29,61,1459,"LH206","PI 538010","2015_29_61"
2015,2,24,18,123,"A643","Ames 23478","2015_24_18"
2015,3,30,50,1479,"AD Sg1501-4","Ames 29026","2015_30_50"
2015,3,22,53,1239,"A622N","PI 406124","2015_22_53"
2015,2,35,10,445,"AD 123 DS","Ames 28972","2015_35_10"
2015,3,10,66,888,"PHR55","PI 548804","2015_10_66"
2015,3,40,62,1795,"T234","Ames 27190","2015_40_62"
2015,3,8,63,824,"OC3","PI 553056","2015_8_63"
2015,3,33,56,1576,"Va14A","Ames 14114","2015_33_56"
2015,3,37,46,1687,"R12","Ames 21095","2015_37_46"
2015,2,28,2,228,"A260","Ames 23408","2015_28_2"
2015,2,25,17,151,"WM13R","NSL 30070","2015_25_17"
2015,2,32,1,347,"MS203","Ames 24739","2015_32_1"
2015,2,33,24,398,"NY 476 (Neveh Yaar)","PI 200191","2015_33_24"
2015,3,33,59,1579,"NC278A","Ames 28420","2015_33_59"
2015,2,39,16,571,"H109","Ames 26802","2015_39_16"
2015,3,32,40,1530,"AusTRCF 306357","NSL 438043","2015_32_40"
2015,3,12,66,948,"IDS69","Ames 24576","2015_12_66"
2015,3,8,49,810,"N510","PI 594059","2015_8_49"
2015,2,32,28,372,"NO. 1019 INBRED","PI 303926","2015_32_28"
2015,3,12,41,925,"PHG86","PI 601442","2015_12_41"
2015,3,17,47,1083,"H27w","Ames 26779","2015_17_47"
2015,3,37,59,1700,"Tzi 24","PI 506254","2015_37_59"
2015,3,7,61,791,"Mo43","Ames 28938","2015_7_61"
2015,3,18,48,1114,"AusTRCF 306336","NSL 438022","2015_18_48"
2015,2,40,24,609,"FBLA","PI 546482","2015_40_24"
2015,3,25,65,1341,"N535","PI 594081","2015_25_65"
2015,3,34,45,1596,"CML 333","Ames 27101","2015_34_45"
2015,3,8,38,800,"R113","NSL 30883","2015_8_38"
2015,2,32,30,374,"MS116","Ames 24729","2015_32_30"
2015,3,22,67,1253,"H21W","Ames 20136","2015_22_67"
2015,3,25,58,1334,"AR276","PI 561533","2015_25_58"
2015,2,40,16,601,"CHI-503","PI 391667","2015_40_16"
2015,3,17,39,1075,"A637","Ames 23475","2015_17_39"
2015,2,32,23,367,"A653","Ames 23486","2015_32_23"
2015,3,27,46,1385,"DE2","PI 606330","2015_27_46"
2015,3,9,54,846,"LH119","PI 600954","2015_9_54"
2015,3,20,49,1175,"AD SA13","Ames 29013","2015_20_49"
2015,2,34,29,433,"CR1HT","PI 601080","2015_34_29"
2015,3,18,58,1122,"N217","PI 596356","2015_18_58"
2015,2,38,17,541,"CH732-12","Ames 27019","2015_38_17"
2015,3,27,53,1392,"GE129","Ames 10256","2015_27_53"
2015,3,40,51,1784,"SC 212M","NSL 53086","2015_40_51"
2015,3,28,46,1416,"AD Sg1501-6","Ames 29028","2015_28_46"
2015,3,38,51,1724,"PHB47","PI 601009","2015_38_51"
2015,2,24,7,112,"S 125","PI 535927","2015_24_7"
2015,3,13,63,975,"W 3607","Ames 22052","2015_13_63"
2015,2,32,32,376,"MS201","Ames 24738","2015_32_32"
2015,3,16,68,1072,"HY2","NSL 30864","2015_16_68"
2015,3,3,38,647,"NS501","PI 601583","2015_3_38"
2015,3,23,43,1261,"CI 82B","Ames 26135","2015_23_43"
2015,3,26,43,1351,"W8555","PI 601729","2015_26_43"
2015,3,10,67,889,"PHR58","PI 548805","2015_10_67"
2015,3,28,61,1429,"R192","NSL 30898","2015_28_61"
2015,3,17,64,1098,"CI 81B","CIze 81","2015_17_64"
2015,2,33,11,387,"ND250","PI 550531","2015_33_11"
2015,3,35,46,1627,"K11","NSL 22631","2015_35_46"
2015,3,11,52,905,"N516","PI 594065","2015_11_52"
2015,3,13,40,954,"MBPM","PI 601440","2015_13_40"
2015,3,16,43,1048,"WXB6","Ames 26745","2015_16_43"
2015,2,29,8,264,"A649","Ames 23482","2015_29_8"
2015,3,9,39,831,"PHT69","PI 559949","2015_9_39"
2015,2,28,25,249,"CM234","Ames 27037","2015_28_25"
2015,3,5,43,714,"A632","PI 587140","2015_5_43"
2015,2,35,24,458,"A312","Ames 23420","2015_35_24"
2015,3,9,40,832,"NYLB31","PI 561695","2015_9_40"
2015,2,25,20,154,"ND255","NSL 32722","2015_25_20"
2015,2,36,31,495,"4F-182 BS 11","PI 198889","2015_36_31"
2015,3,9,52,844,"MS221","Ames 24746","2015_9_52"
2015,3,22,57,1243,"58801 Inbred Mo17","PI 648430","2015_22_57"
2015,2,38,24,548,"58611 Inbred A632","PI 648423","2015_38_24"
2015,3,23,46,1264,"LP1 NR HT","PI 600729","2015_23_46"
2015,3,39,38,1742,"Mo9W","PI 558526","2015_39_38"
2015,3,3,61,670,"A681","Ames 23504","2015_3_61"
2015,3,15,64,1037,"N199","PI 568158","2015_15_64"
2015,3,39,49,1752,"CML 322","Ames 27096","2015_39_49"
2015,3,29,54,1453,"NO. 1068 INBRED","PI 303932","2015_29_54"
2015,2,36,13,479,"AD 188L","Ames 28985","2015_36_13"
2015,3,20,51,1177,"AD Sg1501-2","Ames 29024","2015_20_51"
2015,2,25,11,145,"CO255","Ames 27107","2015_25_11"
2015,3,16,44,1049,"WXHy","Ames 26746","2015_16_44"
2015,3,31,48,1506,"AD SA11","Ames 29011","2015_31_48"
2015,3,18,46,1112,"AusTRCF 306278","NSL 437964","2015_18_46"
2015,3,20,63,1187,"H49","Ames 26787","2015_20_63"
2015,2,23,15,90,"G3 T5","PI 340817","2015_23_15"
2015,3,4,61,700,"AusTRCF 305849","NSL 437923","2015_4_61"
2015,3,31,55,1513,"CI 28A","CIze 28","2015_31_55"
2015,3,30,52,1481,"NC89","Ames 30864","2015_30_52"
2015,2,38,1,527,"A627","Ames 23463","2015_38_1"
2015,2,20,4,4,"SA24","Ames 27188","2015_20_4"
2015,3,41,56,1811,"AusTRCF 305803","NSL 437879","2015_41_56"
2015,2,32,19,364,"A238","NSL 81595","2015_32_19"
2015,3,15,51,1024,"740","PI 601489","2015_15_51"
2015,3,11,39,893,"AD SA7","Ames 29007","2015_11_39"
2015,3,36,62,1674,"B79","PI 608766","2015_36_62"
2015,3,24,59,1305,"AusTRCF 306257","NSL 437946","2015_24_59"
2015,3,27,48,1387,"TZEEI 6","PI 641256","2015_27_48"
2015,3,22,56,1242,"Pa877","PI 517972","2015_22_56"
2015,3,34,66,1616,"INBRED 378","PI 186182","2015_34_66"
2015,3,17,37,1073,"Wf9","Ames 19293","2015_17_37"
2015,2,26,25,189,"ND266","PI 548794","2015_26_25"
2015,3,23,42,1260,"Va99","Ames 24989","2015_23_42"
2015,3,13,65,977,"R924","NSL 30913","2015_13_65"
2015,2,33,12,1,"B73","14SJMY:Breed:0001","2015_33_12"
2015,3,11,48,901,"SG 18","NSL 75979","2015_11_48"
2015,3,30,58,1487,"CI 49A","CIze 49","2015_30_58"
2015,3,22,48,1235,"TN 53-1-2","PI 303943","2015_22_48"
2015,2,27,15,210,"S 22","PI 535914","2015_27_15"
2015,3,34,50,1601,"Mo308ae","NSL 67793","2015_34_50"
2015,3,40,45,1778,"Tx71","Ames 22760","2015_40_45"
2015,3,34,53,1604,"NC314","Ames 27153","2015_34_53"
2015,3,38,52,1725,"SX-6-10 (Tetraploid)","PI 601329","2015_38_52"
2015,2,22,31,75,"ND230","NSL 32728","2015_22_31"
2015,3,18,54,1119,"R-17 INBR.FR.SUPERGOLD","PI 340853","2015_18_54"
2015,3,21,39,1195,"R4","Ames 27187","2015_21_39"
2015,3,20,65,1189,"R196","NSL 30901","2015_20_65"
2015,3,25,37,1315,"AD Sg1501-3","Ames 29025","2015_25_37"
2015,3,26,53,1361,"Mo7","PI 558516","2015_26_53"
2015,2,33,22,396,"AusTRCF 305833","NSL 437907","2015_33_22"
2015,2,40,4,589,"NYRD4058","PI 561694","2015_40_4"
2015,3,36,47,1659,"LH128","PI 547086","2015_36_47"
2015,3,7,64,794,"Oh40B","NSL 28966","2015_7_64"
2015,3,12,46,930,"B100","PI 584529","2015_12_46"
2015,3,34,65,1615,"AusTRCF 306353","NSL 438039","2015_34_65"
2015,2,38,13,537,"PHG47","PI 601318","2015_38_13"
2015,3,21,66,1221,"PHWG5","PI 559954","2015_21_66"
2015,3,36,46,1658,"6F629","PI 546483","2015_36_46"
2015,3,29,66,1464,"WXK64","Ames 26752","2015_29_66"
2015,3,24,62,1308,"Mo510W","Ames 28944","2015_24_62"
2015,2,37,16,511,"BR-15 DENT STERILE","PI 340845","2015_37_16"
2015,2,32,14,360,"A548","Ames 23449","2015_32_14"
2015,2,23,30,104,"ND264","PI 522252","2015_23_30"
2015,2,33,18,392,"OC9","PI 553062","2015_33_18"
2015,2,26,17,182,"S 63","PI 535920","2015_26_17"
2015,3,24,65,1311,"INBRED 141","PI 186199","2015_24_65"
2015,3,9,49,841,"MS4","Ames 24705","2015_9_49"
2015,3,32,43,1533,"Sg 1533","PI 587132","2015_32_43"
2015,3,32,56,1546,"R225","PI 531509","2015_32_56"
2015,3,37,65,1706,"T115","PI 550517","2015_37_65"
2015,2,27,10,206,"2FACC","PI 601808","2015_27_10"
2015,3,32,64,1553,"T101","PI 550515","2015_32_64"
2015,3,27,44,1383,"AD SA8","Ames 29008","2015_27_44"
2015,3,29,58,1457,"89S4154","Ames 12822","2015_29_58"
2015,2,26,32,196,"FV181","PI 257514","2015_26_32"
2015,2,37,10,505,"N520","PI 594069","2015_37_10"
2015,3,37,48,1689,"A624","Ames 23460","2015_37_48"
2015,3,7,57,787,"LH127","PI 538007","2015_7_57"
2015,3,6,60,761,"Mo402","Ames 28361","2015_6_60"
2015,3,23,47,1265,"PHW17","PI 601362","2015_23_47"
2015,3,19,41,1137,"B77","PI 608765","2015_19_41"
2015,3,19,39,1135,"DE811","PI 550558","2015_19_39"
2015,3,39,37,1741,"Mo15W","PI 558518","2015_39_37"
2015,3,36,42,1654,"NC248","Ames 12740","2015_36_42"
2015,3,13,47,960,"PHJ70","PI 601775","2015_13_47"
2015,3,34,57,1608,"AusTRCF 306274","NSL 437960","2015_34_57"
2015,3,15,58,1031,"B75","PI 608774","2015_15_58"
2015,3,32,52,1542,"SC84E","Ames 10271","2015_32_52"
2015,2,41,16,624,"PHG71","PI 601150","2015_41_16"
2015,3,30,61,1489,"CI 28","Ames 26121","2015_30_61"
2015,3,16,60,1064,"Mo37","Ames 28935","2015_16_60"
2015,3,21,65,1220,"NC250","PI 550555","2015_21_65"
2015,2,23,21,96,"U 123","PI 369446","2015_23_21"
2015,3,21,50,1206,"R-28","PI 340862","2015_21_50"
2015,3,18,62,1126,"LH191","PI 539925","2015_18_62"
2015,3,6,47,748,"87916W","PI 601563","2015_6_47"
2015,2,29,25,279,"4580 INBRED","PI 415087","2015_29_25"
2015,3,18,66,1130,"LH65","PI 601494","2015_18_66"
2015,3,29,65,1463,"WX187-2","Ames 26741","2015_29_65"
2015,3,31,67,1525,"H111","PI 550527","2015_31_67"
2015,3,9,44,836,"Va59","Ames 19016","2015_9_44"
2015,3,33,67,1587,"CML 325","Ames 30855","2015_33_67"
2015,3,22,58,1244,"89S4190","Ames 12824","2015_22_58"
2015,3,24,60,1306,"AusTRCF 306280","NSL 437966","2015_24_60"
2015,2,31,15,331,"L 127","PI 601726","2015_31_15"
2015,3,18,61,1125,"LH190","PI 539922","2015_18_61"
2015,3,28,54,1423,"Oh7B","NSL 22629","2015_28_54"
2015,3,36,67,1677,"CI 86B","CIze 86","2015_36_67"
2015,3,20,39,1165,"N522","PI 604605","2015_20_39"
2015,3,36,51,1663,"CI 70","Ames 26131","2015_36_51"
2015,3,27,45,1384,"PHW43","PI 601792","2015_27_45"
2015,3,19,53,1148,"N526","PI 594074","2015_19_53"
2015,2,25,31,165,"MS206","Ames 24741","2015_25_31"
2015,3,20,58,1182,"R221","NSL 29317","2015_20_58"
2015,3,39,51,1754,"I137TN","Ames 27116","2015_39_51"
2015,2,39,2,558,"ND408","NSL 32734","2015_39_2"
2015,3,13,53,966,"Yong 28","Ames 2333","2015_13_53"
2015,3,6,38,740,"88069","PI 550918","2015_6_38"
2015,3,13,50,963,"AD 316 DS","Ames 28977","2015_13_50"
2015,3,22,42,1229,"N503","PI 594052","2015_22_42"
2015,3,9,67,858,"NC284","Ames 28423","2015_9_67"
2015,3,2,41,632,"L 139","PI 601728","2015_2_41"
2015,3,19,63,1157,"FAPW","PI 600958","2015_19_63"
2015,3,30,65,1493,"H118w","NSL 197106","2015_30_65"
2015,2,23,23,98,"4564 INBRED","PI 415084","2015_23_23"
2015,3,8,39,801,"R181B","NSL 30896","2015_8_39"
2015,3,6,52,753,"Tr","Ames 26022","2015_6_52"
2015,3,11,57,910,"N542","PI 594088","2015_11_57"
2015,3,31,42,1502,"INBRED 2-687","PI 186215","2015_31_42"
2015,3,12,51,935,"Tx714","PI 633840","2015_12_51"
2015,2,34,12,417,"P51wx","Ames 22050","2015_34_12"
2015,2,26,8,174,"CO255","Ames 27050","2015_26_8"
2015,3,20,47,1173,"89S4157","Ames 12823","2015_20_47"
2015,3,20,40,1166,"N527","PI 604606","2015_20_40"
2015,3,8,55,816,"YE-CHI-HUNG","PI 391682","2015_8_55"
2015,2,29,28,282,"S 90","PI 535923","2015_29_28"
2015,3,11,38,892,"AD 363-1","Ames 28992","2015_11_38"
2015,3,26,59,1366,"R35","Ames 21096","2015_26_59"
2015,2,34,4,410,"L 135","PI 601727","2015_34_4"
2015,3,24,51,1298,"A165","NSL 42877","2015_24_51"
2015,2,33,2,378,"S 48","PI 369442","2015_33_2"
2015,3,3,40,649,"H8431","PI 601610","2015_3_40"
2015,2,22,7,53,"C3","Ames 26812","2015_22_7"
2015,2,33,27,401,"FR19","PI 600772","2015_33_27"
2015,3,7,38,770,"A633","Ames 23471","2015_7_38"
2015,2,21,23,38,"A344","Ames 23425","2015_21_23"
2015,3,7,63,793,"AD 347 DS-1","Ames 28996","2015_7_63"
2015,3,38,49,1722,"N537","PI 594083","2015_38_49"
2015,3,34,38,1590,"H29w","Ames 26781","2015_34_38"
2015,3,39,42,1745,"Ab28A","Ames 18999","2015_39_42"
2015,2,41,23,627,"LP5","PI 601378","2015_41_23"
2015,3,37,60,1701,"Tzi 25","PI 506255","2015_37_60"
2015,3,26,61,1368,"Pa91","PI 587147","2015_26_61"
2015,3,14,68,1010,"N502","PI 594051","2015_14_68"
2015,3,34,41,1593,"CI90A","CIze 90","2015_34_41"
2015,2,38,22,546,"4N506","PI 601745","2015_38_22"
2015,3,8,43,804,"ML606","PI 583774","2015_8_43"
2015,3,32,65,1554,"CI 28C","Ames 26123","2015_32_65"
2015,3,13,56,969,"89S4125","Ames 12819","2015_13_56"
2015,3,27,42,1381,"Mo506W","Ames 28942","2015_27_42"
2015,2,36,21,487,"AD SA18","Ames 29018","2015_36_21"
2015,3,38,39,1712,"K155","NSL 22634","2015_38_39"
2015,2,38,2,528,"A671","Ames 23495","2015_38_2"
2015,3,15,62,1035,"H110","PI 550526","2015_15_62"
2015,2,33,16,390,"C 14","NSL 42874","2015_33_16"
2015,3,39,61,1764,"TZEI 11","PI 641071","2015_39_61"
2015,3,36,53,1665,"AR250","PI 561526","2015_36_53"
2015,3,7,66,796,"OC8","PI 553061","2015_7_66"
2015,2,25,32,166,"MS1334","Ames 24752","2015_25_32"
2015,3,28,53,1422,"K47","NSL 22628","2015_28_53"
2015,3,30,37,1467,"Mo11","PI 558527","2015_30_37"
2015,3,25,50,1327,"PHW51","PI 543849","2015_25_50"
2015,2,36,16,482,"AD 11 DS","Ames 28990","2015_36_16"
2015,2,30,12,298,"LH149","PI 601493","2015_30_12"
2015,2,36,7,473,"AD 147 DS","Ames 28970","2015_36_7"
2015,3,14,45,989,"NC328","Ames 27160","2015_14_45"
2015,3,5,37,708,"B-28","PI 340860","2015_5_37"
2015,3,8,44,805,"A554","PI 587138","2015_8_44"
2015,2,26,26,190,"29MIBZ2","PI 548830","2015_26_26"
2015,3,29,52,1451,"T270","PI 631444","2015_29_52"
2015,2,39,31,585,"B41","NSL 30046","2015_39_31"
2015,2,29,22,276,"MS153","Ames 24734","2015_29_22"
2015,3,5,55,726,"B88","PI 550556","2015_5_55"
2015,2,23,26,101,"38-11R PARENT HB 19 INB","Ames 2523","2015_23_26"
2015,2,39,24,579,"AD 230 DS","Ames 28979","2015_39_24"
2015,3,34,39,1591,"H50","Ames 26788","2015_34_39"
2015,3,29,42,1442,"CML 300","PI 595569","2015_29_42"
2015,3,38,42,1715,"90176","PI 561604","2015_38_42"
2015,3,15,49,1022,"NS701","PI 601417","2015_15_49"
2015,3,31,40,1500,"CML 108","Ames 27082","2015_31_40"
2015,3,32,53,1543,"TUO 229","PI 391676","2015_32_53"
2015,3,40,55,1788,"NC312","Ames 27152","2015_40_55"
2015,2,31,5,321,"OC2","PI 553055","2015_31_5"
2015,2,27,22,1,"B73","14SJMY:Breed:0001","2015_27_22"
2015,2,23,32,106,"S 56","PI 535906","2015_23_32"
2015,3,10,57,879,"R-22 INBR.FR.SUPERGOLD","PI 340859","2015_10_57"
2015,3,17,62,1096,"AD 440 DS-2","Ames 29000","2015_17_62"
2015,3,27,64,1402,"CI 19","Ames 26119","2015_27_64"
2015,3,34,46,1597,"H91","Ames 27114","2015_34_46"
2015,2,25,6,142,"A204","Ames 23401","2015_25_6"
2015,2,35,7,443,"Bei 10 = North 10","Ames 2332","2015_35_7"
2015,2,37,15,510,"BR-1-1","PI 340835","2015_37_15"
2015,3,4,51,690,"PHW30","PI 548808","2015_4_51"
2015,2,40,10,595,"N507","PI 594056","2015_40_10"
2015,3,35,44,1625,"T64S","PI 509046","2015_35_44"
2015,3,10,52,874,"AusTRCF 306333","NSL 438019","2015_10_52"
2015,3,16,46,1051,"764","PI 601374","2015_16_46"
