"ID_cleanformat","ID","Pedigree","Comments_isu_gb","Comments_note"
"ames22063","Ames 22063","W 6720-2","sweet corn_unclassified","in_question"
"ames23506","Ames 23506","C38","sweet corn_NA","in_question"
"ames26760","Ames 26760","A632 +/sh2","sweet corn_stiff stalk","in_question"
"ames26761","Ames 26761","A632 sh2/sh2","sweet corn_stiff stalk","in_question"
"ames26762","Ames 26762","A632 su/su","sweet corn_stiff stalk","in_question"
"ames26763","Ames 26763","B84 +/su","sweet corn_stiff stalk","in_question"
"ames26764","Ames 26764","Mo17 +/su","sweet corn_non-stiff stalk","in_question"
"ames26765","Ames 26765","Oh43 (su)","sweet corn_non-stiff stalk","in_question"
"ames26766","Ames 26766","Oh43 sh2","sweet corn_non-stiff stalk","in_question"
"ames28976","Ames 28976","AD 139 DS??","popcorn_unclassified","in_question"
"ames28983","Ames 28983","AD 187-2","popcorn_unclassified","in_question"
"ames28993","Ames 28993","AD 363-2","popcorn_unclassified","in_question"
"ames28997","Ames 28997","AD 347 DS-2","popcorn_unclassified","in_question"
"ames29000","Ames 29000","AD 440 DS-2","popcorn_unclassified","in_question"
"ames29004","Ames 29004","AD SA4","popcorn_unclassified","in_question"
"ames29023","Ames 29023","AD Sg1501-1","popcorn_unclassified","in_question"
"ames29024","Ames 29024","AD Sg1501-2","popcorn_unclassified","in_question"
"ames29025","Ames 29025","AD Sg1501-3","popcorn_unclassified","in_question"
"ames29026","Ames 29026","AD Sg1501-4","popcorn_unclassified","in_question"
"ames29027","Ames 29027","AD Sg1501-5","popcorn_unclassified","in_question"
"ames29028","Ames 29028","AD Sg1501-6","popcorn_unclassified","in_question"
"nsl8585","NSL 8585","P39","sweet corn_NA","in_question"
"pi340841","PI 340841","B-15 DENT STERILE","popcorn_unclassified","in_question"
"pi340844","PI 340844","R-15 DENT STERILE","popcorn_unclassified","in_question"
"pi340853","PI 340853","R-17 INBR.FR.SUPERGOLD","popcorn_unclassified","in_question"
"pi340854","PI 340854","RB-17 INBR.FR.SUPERGOLD","popcorn_unclassified","in_question"
"pi340856","PI 340856","R-18 INBR.FR.SUPERGOLD","popcorn_unclassified","in_question"
"pi340869","PI 340869","R-PAH-1 IN.FR.TOM-THUMB","popcorn_unclassified","in_question"
"pi340870","PI 340870","R-PAH-2","popcorn_unclassified","in_question"
"pi340872","PI 340872","R-PAH-1","popcorn_unclassified","in_question"
"pi340873","PI 340873","R-RAH-2 IN.FR.TOM-THUMB","popcorn_unclassified","in_question"
"pi340876","PI 340876","IA DS 53","popcorn or sweet corn_unclassified","in_question"
"pi506411","PI 506411","M6411","sweet corn_unclassified","in_question"
"pi506412","PI 506412","M6415","sweet corn_unclassified","in_question"
"pi542715","PI 542715","NP86","popcorn_unclassified","in_question"
"pi542716","PI 542716","NP87","popcorn_unclassified","in_question"
"pi587133","PI 587133","P39","sweet corn_unclassified","in_question"
"pi596506","PI 596506","OC19","popcorn_unclassified","in_question"
