"ID_cleanformat","ID","Pedigree","Comments_isu_gb","Comments_note"
"ames23497","Ames 23497","A673","other","ok"
"ames23498","Ames 23498","A674","other","ok"
"ames23499","Ames 23499","A675","other","ok"
"ames23500","Ames 23500","A676","other","ok"
"ames23501","Ames 23501","A677","other","ok"
"ames23502","Ames 23502","A678","other","ok"
"ames23503","Ames 23503","A680","other","ok"
"ames23504","Ames 23504","A681","other","ok"
"ames23505","Ames 23505","A683","other","ok"
"ames23507","Ames 23507","C42","sweet corn","ok"
"ames23508","Ames 23508","S4","sweet corn","ok"
"ames23509","Ames 23509","S8","sweet corn","ok"
"ames23510","Ames 23510","S43","sweet corn","ok"
"ames23922","Ames 23922","Oh51A","other","ok"
"ames23924","Ames 23924","Tx706","other","ok"
"ames24575","Ames 24575","IDS28","popcorn","ok"
"ames24576","Ames 24576","IDS69","popcorn","ok"
"ames24577","Ames 24577","IDS91","popcorn","ok"
"ames24585","Ames 24585","CG10","other","ok"
"ames24589","Ames 24589","I159","other","ok"
"ames24590","Ames 24590","I198","other","ok"
"ames24704","Ames 24704","MS1","other","ok"
"ames24705","Ames 24705","MS4","other","ok"
"ames24706","Ames 24706","MS12","other","ok"
"ames24707","Ames 24707","MS24","other","ok"
"ames24708","Ames 24708","MS24A","other","ok"
"ames24709","Ames 24709","MS57","other","ok"
"ames24710","Ames 24710","MS67","other","ok"
"ames24711","Ames 24711","MS68","other","ok"
"ames24712","Ames 24712","MS71","other","ok"
"ames24713","Ames 24713","MS72","other","ok"
"ames24714","Ames 24714","MS74","other","ok"
"ames24715","Ames 24715","MS75","other","ok"
"ames24716","Ames 24716","MS76","other","ok"
"ames24717","Ames 24717","MS77","other","ok"
"ames24718","Ames 24718","MS78","other","ok"
"ames24719","Ames 24719","MS79","other","ok"
"ames24720","Ames 24720","MS80","other","ok"
"ames24722","Ames 24722","MS89","other","ok"
"ames24723","Ames 24723","MS91","other","ok"
"ames24724","Ames 24724","MS92","other","ok"
"ames24725","Ames 24725","MS93","other","ok"
"ames24726","Ames 24726","MS100","other","ok"
"ames24727","Ames 24727","MS106","other","ok"
"ames24728","Ames 24728","MS107","other","ok"
"ames24729","Ames 24729","MS116","other","ok"
"ames24730","Ames 24730","MS132","other","ok"
"ames24732","Ames 24732","MS141","other","ok"
"ames24733","Ames 24733","MS142","other","ok"
"ames24734","Ames 24734","MS153","other","ok"
"ames24735","Ames 24735","MS198","other","ok"
"ames24736","Ames 24736","MS199","other","ok"
"ames24737","Ames 24737","MS200","other","ok"
"ames24738","Ames 24738","MS201","other","ok"
"ames24739","Ames 24739","MS203","other","ok"
"ames24740","Ames 24740","MS204","other","ok"
"ames24741","Ames 24741","MS206","other","ok"
"ames24742","Ames 24742","MS211","other","ok"
"ames24743","Ames 24743","MS214","other","ok"
"ames24744","Ames 24744","MS215","other","ok"
"ames24745","Ames 24745","MS216","other","ok"
"ames24746","Ames 24746","MS221","other","ok"
"ames24747","Ames 24747","MS222","other","ok"
"ames24748","Ames 24748","MS223","other","ok"
"ames24749","Ames 24749","MS224","other","ok"
"ames24750","Ames 24750","MS225","other","ok"
"ames24751","Ames 24751","MS226","other","ok"
"ames24752","Ames 24752","MS1334","other","ok"
"ames24989","Ames 24989","Va99","other","ok"
"ames25219","Ames 25219","A619Ht1","other","ok"
"ames25220","Ames 25220","A619Ht2","other","ok"
"ames25221","Ames 25221","A619Ht3","other","ok"
"ames2523","Ames 2523","38-11R PARENT HB 19 INB","other","ok"
"ames25372","Ames 25372","Pa91HT1","other","ok"
"ames25373","Ames 25373","Pa91HT2","other","ok"
"ames25374","Ames 25374","Pa91HT3","other","ok"
"ames25559","Ames 25559","H60","other","ok"
"ames26004","Ames 26004","MINN #5","popcorn","ok"
"ames26021","Ames 26021","P8","other","ok"
"ames26022","Ames 26022","Tr","other","ok"
"ames26028","Ames 26028","CI 540","other","ok"
"ames26114","Ames 26114","CI 1","other","ok"
"ames26115","Ames 26115","CI 2","other","ok"
"ames26116","Ames 26116","CI 3A","other","ok"
"ames26118","Ames 26118","CI 11B","other","ok"
"ames26119","Ames 26119","CI 19","other","ok"
"ames26120","Ames 26120","CI 20","other","ok"
"ames26121","Ames 26121","CI 28","other","ok"
"ames26122","Ames 26122","CI 28B","other","ok"
"ames26123","Ames 26123","CI 28C","other","ok"
"ames26124","Ames 26124","CI 30","other","ok"
"ames26125","Ames 26125","CI 31","other","ok"
"ames26126","Ames 26126","CI 32","other","ok"
"ames26127","Ames 26127","CI 34","other","ok"
"ames26128","Ames 26128","CI 40H","other","ok"
"ames26129","Ames 26129","CI 41","other","ok"
"ames26130","Ames 26130","CI 46","other","ok"
"ames26131","Ames 26131","CI 70","other","ok"
"ames26133","Ames 26133","CI 74","other","ok"
"ames26134","Ames 26134","CI 75","other","ok"
"ames26135","Ames 26135","CI 82B","other","ok"
"ames26136","Ames 26136","CI 84B","other","ok"
"ames26137","Ames 26137","CI 91C","other","ok"
"ames26138","Ames 26138","CI 187-2","other","ok"
"ames26604","Ames 26604","38-11","other","ok"
"ames26741","Ames 26741","WX187-2","other","ok"
"ames26742","Ames 26742","WX33-16","other","ok"
"ames26743","Ames 26743","WX38-11","other","ok"
"ames26744","Ames 26744","WXB14","other","ok"
"ames26745","Ames 26745","WXB6","other","ok"
"ames26746","Ames 26746","WXHy","other","ok"
"ames26747","Ames 26747","WXI198","other","ok"
"ames26748","Ames 26748","WXI205","other","ok"
"ames26749","Ames 26749","WXK41","other","ok"
"ames26750","Ames 26750","WXK44","other","ok"
"ames26751","Ames 26751","WXK55","other","ok"
"ames26752","Ames 26752","WXK64","other","ok"
"ames26753","Ames 26753","WXL289","other","ok"
"ames26754","Ames 26754","WXL317","other","ok"
"ames26755","Ames 26755","WXM14","other","ok"
"ames26756","Ames 26756","WXOs420","other","ok"
"ames26757","Ames 26757","WXW22","other","ok"
"ames26758","Ames 26758","WXWF9","other","ok"
"ames26767","Ames 26767","W64A ae","other","ok"
"ames26768","Ames 26768","W64A ae/wx","other","ok"
"ames26770","Ames 26770","66","other","ok"
"ames26771","Ames 26771","33-16","other","ok"
"ames26772","Ames 26772","H5","other","ok"
"ames26773","Ames 26773","H10","other","ok"
"ames26774","Ames 26774","H14","other","ok"
"ames26775","Ames 26775","H19","other","ok"
"ames26776","Ames 26776","H22w","other","ok"
"ames26777","Ames 26777","H23w","other","ok"
"ames26778","Ames 26778","H26w","other","ok"
"ames26779","Ames 26779","H27w","other","ok"
"ames26780","Ames 26780","H28w","other","ok"
"ames26781","Ames 26781","H29w","other","ok"
"ames26782","Ames 26782","H30w","other","ok"
"ames26783","Ames 26783","H41","other","ok"
"ames26784","Ames 26784","H42","other","ok"
"ames26785","Ames 26785","H45","other","ok"
"ames26786","Ames 26786","H46","other","ok"
"ames26787","Ames 26787","H49","other","ok"
"ames26788","Ames 26788","H50","other","ok"
"ames26789","Ames 26789","H51","other","ok"
"ames26791","Ames 26791","H55","other","ok"
"ames26793","Ames 26793","H71","other","ok"
"ames26794","Ames 26794","H73","other","ok"
"ames26795","Ames 26795","H88","other","ok"
"ames26796","Ames 26796","H93","other","ok"
"ames26797","Ames 26797","H96","other","ok"
"ames26798","Ames 26798","H98","other","ok"
"ames26800","Ames 26800","H106w","other","ok"
"ames26801","Ames 26801","H108","other","ok"
"ames26802","Ames 26802","H109","other","ok"
"ames26803","Ames 26803","H113","other","ok"
"ames26804","Ames 26804","H121","other","ok"
"ames26805","Ames 26805","H122w","other","ok"
"ames26806","Ames 26806","H124w","other","ok"
"ames26808","Ames 26808","Ill.Hy","other","ok"
"ames26812","Ames 26812","C3","sweet corn","ok"
"ames26813","Ames 26813","C5","sweet corn","ok"
"ames26815","Ames 26815","C30","sweet corn","ok"
"ames26909","Ames 26909","Mo41","other","ok"
"ames27018","Ames 27018","CH711-10","other","ok"
"ames27019","Ames 27019","CH732-12","other","ok"
"ames27020","Ames 27020","CH741-6","other","ok"
"ames27021","Ames 27021","CH753-4","other","ok"
"ames27024","Ames 27024","CL17","other","ok"
"ames27025","Ames 27025","CL18","other","ok"
"ames27026","Ames 27026","CL19","other","ok"
"ames27029","Ames 27029","CL27","other","ok"
"ames27031","Ames 27031","CM99","other","ok"
"ames27032","Ames 27032","CM145","other","ok"
"ames27034","Ames 27034","CM155","other","ok"
"ames27036","Ames 27036","CM182","other","ok"
"ames27037","Ames 27037","CM234","other","ok"
"ames27038","Ames 27038","CMV3","other","ok"
"ames27039","Ames 27039","CO117","other","ok"
"ames27040","Ames 27040","CO120","other","ok"
"ames27041","Ames 27041","CO150","other","ok"
"ames27042","Ames 27042","CO158","other","ok"
"ames27043","Ames 27043","CO192","other","ok"
"ames27044","Ames 27044","CO216","other","ok"
"ames27045","Ames 27045","CO220","other","ok"
"ames27046","Ames 27046","CO236","other","ok"
"ames27048","Ames 27048","CO245","other","ok"
"ames27049","Ames 27049","CO252","other","ok"
"ames27050","Ames 27050","CO255","other","ok"
"ames27051","Ames 27051","CO256","other","ok"
"ames27052","Ames 27052","CO257","other","ok"
"ames27053","Ames 27053","CO258","other","ok"
"ames27057","Ames 27057","CSJ3","other","ok"
"ames27064","Ames 27064","A441-5","other","ok"
"ames27065","Ames 27065","B73Htrhm","other","ok"
"ames27066","Ames 27066","B164","other","ok"
"ames27067","Ames 27067","C49A","other","ok"
"ames27068","Ames 27068","CH9","other","ok"
"ames27069","Ames 27069","CH701-30","other","ok"
"ames27070","Ames 27070","CM7","other","ok"
"ames27081","Ames 27081","CML 103","other","ok"
"ames27082","Ames 27082","CML 108","other","ok"
"ames27083","Ames 27083","CML 154Q","other","ok"
"ames27087","Ames 27087","CML 220","other","ok"
"ames27096","Ames 27096","CML 322","other","ok"
"ames27097","Ames 27097","CML 323","other","ok"
"ames27098","Ames 27098","CML 328","other","ok"
"ames27101","Ames 27101","CML 333","other","ok"
"ames27104","Ames 27104","CMV3","other","ok"
"ames27105","Ames 27105","CO106","other","ok"
"ames27106","Ames 27106","CO125","other","ok"
"ames27107","Ames 27107","CO255","other","ok"
"ames27111","Ames 27111","EP1","other","ok"
"ames27112","Ames 27112","F2834T","other","ok"
"ames27114","Ames 27114","H91","other","ok"
"ames27115","Ames 27115","I29","other","ok"
"ames27116","Ames 27116","I137TN","other","ok"
"ames27117","Ames 27117","Ia5125B","sweet corn","ok"
"ames27118","Ames 27118","Il14H","sweet corn","ok"
"ames27119","Ames 27119","Il 101T","sweet corn","ok"
"ames27120","Ames 27120","Il677a","sweet corn","ok"
"ames27121","Ames 27121","K64","other","ok"
"ames27122","Ames 27122","K148","other","ok"
"ames27123","Ames 27123","Ki3","other","ok"
"ames27130","Ames 27130","Ky21","other","ok"
"ames27132","Ames 27132","L578","other","ok"
"ames27133","Ames 27133","M37W","other","ok"
"ames27135","Ames 27135","MEF156-55-2","other","ok"
"ames27136","Ames 27136","Mo.G","other","ok"
"ames27137","Ames 27137","N6","other","ok"
"ames27138","Ames 27138","N28Ht","other","ok"
"ames27140","Ames 27140","NC260","other","ok"
"ames27141","Ames 27141","NC290A","other","ok"
"ames27142","Ames 27142","NC292","other","ok"
"ames27143","Ames 27143","NC294","other","ok"
"ames27144","Ames 27144","NC296","other","ok"
"ames27146","Ames 27146","NC300","other","ok"
"ames27147","Ames 27147","NC302","other","ok"
"ames27148","Ames 27148","NC304","other","ok"
"ames27149","Ames 27149","NC306","other","ok"
"ames27150","Ames 27150","NC308","other","ok"
"ames27151","Ames 27151","NC310","other","ok"
"ames27152","Ames 27152","NC312","other","ok"
"ames27153","Ames 27153","NC314","other","ok"
"ames27154","Ames 27154","NC316","other","ok"
"ames27156","Ames 27156","NC320","other","ok"
"ames27158","Ames 27158","NC324","other","ok"
"ames27159","Ames 27159","NC326","other","ok"
"ames27160","Ames 27160","NC328","other","ok"
"ames27161","Ames 27161","NC330","other","ok"
"ames27162","Ames 27162","NC332","other","ok"
"ames27163","Ames 27163","NC334","other","ok"
"ames27166","Ames 27166","NC340","other","ok"
"ames27167","Ames 27167","NC342","other","ok"
"ames27168","Ames 27168","NC344","other","ok"
"ames27171","Ames 27171","NC350","other","ok"
"ames27174","Ames 27174","NC356","other","ok"
"ames27175","Ames 27175","NC358","other","ok"
"ames27177","Ames 27177","NC362","other","ok"
"ames27178","Ames 27178","NC364","other","ok"
"ames27180","Ames 27180","NC368","other","ok"
"ames27181","Ames 27181","NC370","other","ok"
"ames27182","Ames 27182","NC372","other","ok"
"ames27183","Ames 27183","Oh43E","other","ok"
"ames27184","Ames 27184","Pa762","other","ok"
"ames27185","Ames 27185","Pa875","other","ok"
"ames27187","Ames 27187","R4","other","ok"
"ames27188","Ames 27188","SA24","popcorn","ok"
"ames27190","Ames 27190","T234","other","ok"
"ames27191","Ames 27191","U267Y","other","ok"
"ames27192","Ames 27192","Va14","other","ok"
"ames27193","Ames 27193","Va85","other","ok"
"ames27194","Ames 27194","W401","other","ok"
"ames27196","Ames 27196","Yu796_NS","other","ok"
"ames27444","Ames 27444","Il731a","sweet corn","ok"
"ames27445","Ames 27445","Il767b","sweet corn","ok"
"ames27446","Ames 27446","Il778d","sweet corn","ok"
"ames27447","Ames 27447","Il779a","sweet corn","ok"
"ames27450","Ames 27450","LH143 (Maintainer)","other","ok"
"ames27451","Ames 27451","A632.75 A1 A2 C1 R1-r B1 Pl1","other","ok"
"ames28170","Ames 28170","A619E","other","ok"
"ames28185","Ames 28185","CML 77","other","ok"
"ames28186","Ames 28186","P39 Goodman-Buckler","sweet corn","ok"
"ames28290","Ames 28290","C49","other","ok"
"ames28291","Ames 28291","Hi27 Goodman-Buckler","other","ok"
"ames28360","Ames 28360","Mo401","other","ok"
"ames28361","Ames 28361","Mo402","other","ok"
"ames28362","Ames 28362","Mo403","other","ok"
"ames28364","Ames 28364","IA2132 Goodman-Buckler","sweet corn","ok"
"ames28365","Ames 28365","CI 91B Goodman-Buckler","other","ok"
"ames28366","Ames 28366","N7A Goodman-Buckler","other","ok"
"ames28367","Ames 28367","CI 7 Goodman-Buckler","other","ok"
"ames28411","Ames 28411","NC258A","other","ok"
"ames28412","Ames 28412","NC262A","other","ok"
"ames28413","Ames 28413","NC262B","other","ok"
"ames28414","Ames 28414","NC266","other","ok"
"ames28415","Ames 28415","NC266B","other","ok"
"ames28418","Ames 28418","NC276","other","ok"
"ames28419","Ames 28419","NC278","other","ok"
"ames28420","Ames 28420","NC278A","other","ok"
"ames28421","Ames 28421","NC280","other","ok"
"ames28422","Ames 28422","NC282","other","ok"
