"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"Ames 25219","A619Ht1","other","Ames25219:250041477",0.106157,"Ames25219",250041477
"Ames 25219","A619Ht1","other","Ames25219:250034741",0.104419,"Ames25219",250034741
"Ames 26022","Tr","other","Ames26022:250041586",0.272803,"Ames26022",250041586
"Ames 26022","Tr","other","Ames26022:250033814",0.399929,"Ames26022",250033814
"Ames 26116","CI 3A","other","Ames26116:250035079",0.221952,"Ames26116",250035079
"Ames 26116","CI 3A","other","Ames26116:250031049",0.213922,"Ames26116",250031049
"Ames 26135","CI 82B","other","Ames26135:250035082",0.310327,"Ames26135",250035082
"Ames 26135","CI 82B","other","Ames26135:250041711",0.338952,"Ames26135",250041711
"Ames 26138","CI 187-2","other","Ames26138:250032805",0.125942,"Ames26138",250032805
"Ames 26138","CI 187-2","other","Ames26138:250032853",0.123923,"Ames26138",250032853
"Ames 26138","CI 187-2","other","Ames26138:250033099",0.122494,"Ames26138",250033099
"Ames 26604","38-11","other","Ames26604:250033313",0.147931,"Ames26604",250033313
"Ames 26604","38-11","other","Ames26604:250032028",0.152116,"Ames26604",250032028
"Ames 26604","38-11","other","Ames26604:250033399",0.131759,"Ames26604",250033399
"Ames 26604","38-11","other","Ames26604:250033482",0.14982,"Ames26604",250033482
"Ames 26758","WXWF9","other","Ames26758:250040763",0.0996603,"Ames26758",250040763
"Ames 26758","WXWF9","other","Ames26758:250031366",0.103862,"Ames26758",250031366
"Ames 26765","Oh43 (su)","sweet corn","Ames26765:250041532",0.111443,"Ames26765",250041532
"Ames 26765","Oh43 (su)","sweet corn","Ames26765:250033614",0.10526,"Ames26765",250033614
"Ames 26771","33-16","other","Ames26771:250033397",0.169125,"Ames26771",250033397
"Ames 26771","33-16","other","Ames26771:250032036",0.168298,"Ames26771",250032036
"Ames 26808","Ill.Hy","other","Ames26808:250040784",0.12801,"Ames26808",250040784
"Ames 26808","Ill.Hy","other","Ames26808:250033018",0.129738,"Ames26808",250033018
"Ames 27037","CM234","other","Ames27037:250041469",0.390819,"Ames27037",250041469
"Ames 27037","CM234","other","Ames27037:250035251",0.334448,"Ames27037",250035251
