"LCMS.Plate","Envelope","PedId","RecId","Source","Gen","Pedigree","ID","Year","Tier","Plot","Range","Pass","Comments","Event.Name","Seed.Packaged.","Grind.Tube","Tube.Position","Datafile","Riboflavin","Nicotinic.Acid","Nicotinamide","Thiamine..13C.","Thiamine..d3.","Pyridoxal","Pyridoxamine","Pyridoxic.Acid","Pyridoxine","Trigonelline"
"Ames17-BV-07L","Ames17-EN-0801",3876500,3875315,"17SJMY:0801",430,"A451","Ames 23438",2017,2,801,10,1,"0","0","Yes","Ames17-GT-0897","E11","Ames17-BV-07L - 85",0.823816253,7.30177902,2.932185322,3.322171187,3.666193716,3.017227284,1.555039856,1.348345432,0.338738415,34.89678935
"Ames17-BV-07L","Ames17-EN-0810",3876509,3875324,"17SJMY:0810",270,"A683","Ames 23505",2017,2,810,10,10,"0","0","Yes","Ames17-GT-1309","B04","Ames17-BV-07L - 32",0.787296563,10.2761959,3.419630673,2.049144824,2.336891065,2.50831995,2.74093213,0.836389624,0.34340607,24.7742744
"Ames17-BV-06L","Ames17-EN-2412",3883703,3883449,"17SJMY:2412",1743,"Mo14W","PI 558530",2017,4,2412,10,100,"0","0","Yes","Ames17-GT-1004","B08","Ames17-BV-06L - 37",0.796685523,7.143338161,4.364694005,1.643778607,1.823620944,2.150603104,2.007317545,1.979300838,0.11742672,50.06553902
"Ames17-BV-06L","Ames17-EN-2413",3883704,3883450,"17SJMY:2413",1748,"Hi28","PI 593010",2017,4,2413,10,101,"0","0","Yes","Ames17-GT-0949","C08","Ames17-BV-06L - 49",0.792407295,5.415714689,3.059618037,3.475839898,3.846478289,3.281351705,2.201942897,1.217348948,0.160643513,36.47632066
"Ames17-BV-06L","Ames17-EN-2414",3883705,3883451,"17SJMY:2414",1758,"Tx807","PI 619430",2017,4,2414,10,102,"0","0","Yes","Ames17-GT-1070","E12","Ames17-BV-06L - 87",0.974127297,6.493068647,3.403164257,4.522250646,4.804903117,4.228113815,1.382643824,2.525908723,0.087666992,63.78509433
"Ames17-BV-06L","Ames17-EN-2415",3883706,3883452,"17SJMY:2415",1764,"TZEI 11","PI 641071",2017,4,2415,10,103,"0","0","Yes","Ames17-GT-0792","A07","Ames17-BV-06L - 24",0.948034601,8.163585839,4.642068998,3.709427818,3.763641286,2.35394989,3.333634027,3.452769074,0.229176703,57.9243825
"Ames17-BV-06L","Ames17-EN-2416",3883707,3883453,"17SJMY:2416",1540,"TZEI 12","PI 641072",2017,4,2416,10,104,"0","0","Yes","Ames17-GT-0925","C07","Ames17-BV-06L - 48",1.463800215,7.829749134,5.024016829,3.328093835,3.860667581,2.638073141,2.418650366,2.381446457,0.310242785,65.04097322
"Ames17-BV-06L","Ames17-EN-2417",3883708,3883454,"17SJMY:2417",1647,"Hi61","PI 641243",2017,4,2417,10,105,"0","0","Yes","Ames17-GT-1550","C12","Ames17-BV-06L - 53",0.644173806,4.254075441,3.622020867,2.13870771,2.310673698,3.38982536,1.771724098,2.582066717,0.841553,20.35548843
"Ames17-BV-06L","Ames17-EN-2418",3883709,3883455,"17SJMY:2418",1766,"Hi67","PI 641249",2017,4,2418,10,106,"0","0","Yes","Ames17-GT-0829","D05","Ames17-BV-06L - 58",0.895681949,4.789605404,3.630237966,4.022194084,4.387726023,2.977758144,3.686773225,2.357249524,0.374390093,49.63704687
"Ames17-BV-06L","Ames17-EN-2420",3883710,3883456,"17SJMY:2420",1772,"SC144","Ames 10274",2017,4,2420,10,108,"0","0","Yes","Ames17-GT-0827","B06","Ames17-BV-06L - 35",0.793148822,5.040864561,3.432741576,1.894253996,2.164800392,2.225613102,2.387688711,1.693423412,0.122400986,13.14379352
