"","r","p"
"d.T3",0.944709530920672,0
"g.T3",0.924083315201374,0
"a.T3",0.729101723848477,2.10487708411816e-270
"d.T",0.830228137484507,0
"g.T",0.825849719919611,0
"a.T",0.810754516657113,0
"Total.Tocotrienols",0.908214488793031,0
"Total.Tocopherols",0.810963058046808,0
"Total.Tocochromanols",0.838592765381831,0
