"Plate.Number","Envelope","PedId","RecId","Source","Gen","Pedigree","ID","Year","Tier","Plot","Range","Pass","New_Block_Pass","New_Block_Range","Comments","Event.Name","Seed.Packaged.","Grind.Tube","Position.in.plate","HPLC.Datafile","d.Tocotrienol","g.Tocotrienol","a.Tocotrienol","d.Tocopherol","g.Tocopherol","a.Tocopherol","Total.Tocotrienols","Total.Tocopherols","Total.Tocochromanols"
"Ames17-Toc-06H","Ames17-EN-2415",3883706,3883452,"17SJMY:2415",1764,"TZEI 11","PI 641071",2017,4,2415,10,103,2,3,"0","0","Yes","Ames17-GT-0792","A07","Ames17-CT-06H_TZEI 11_Ames17-EN-2415_16.lcd",0.29589187,5.064637946,5.979246048,0.317292892,9.987433357,5.147762436,11.33977586,15.45248869,26.79226455
"Ames17-Toc-05H","Ames17-EN-2095",3882380,3880910,"17SJMY:2095",1009,"B106","PI 594049",2017,4,2095,2,103,2,1,"0","0","Yes","Ames17-GT-1592","C05","Ames17-CT-05H_Ames17-EN-2095_B106_41.lcd",0.605644719,19.43832258,7.651836969,1.380564596,35.50476453,6.99213129,27.69580426,43.87746042,71.57326468
"Ames17-Toc-17H","Ames17-EN-2146",3883148,3882794,"17SJMY:2146",1479,"AD Sg1501-4","Ames 29026",2017,4,2146,3,103,2,1,"popcorn","0","Yes","Ames17-GT-1768","H10","Ames17-CT-17H_Ames17-EN-2146_AD Sg1501-4_113.lcd",0.825868712,16.10923183,4.471059802,2.030231208,40.17132242,1.198523539,21.40616035,43.40007717,64.80623751
"Ames17-Toc-17H","Ames17-EN-2175",3883174,3883220,"17SJMY:2175",1568,"LH60","PI 601404",2017,4,2175,4,103,2,1,"0","0","Yes","Ames17-GT-0367","G05","Ames17-CT-17H_Ames17-EN-2175_LH60_95.lcd",0.415610197,8.717048005,19.95389115,0.588446315,30.16606095,15.54593713,29.08654935,46.3004444,75.38699375
"Ames17-Toc-10L","Ames17-EN-2226",3883524,3883270,"17SJMY:2226",1427,"GT113","PI 511313",2017,4,2226,5,103,2,2,"0","0","Yes","Ames17-GT-1146","A11","Ames17-CT-10H_Ames17-EN-2226_GT113_20.lcd",1.096601998,22.82615212,8.482975993,3.824940516,53.27603279,0.726118471,32.40573011,57.82709177,90.23282189
"Ames17-Toc-18H","Ames17-EN-2255",3883552,3883298,"17SJMY:2255",1588,"CML 336","Ames 30856",2017,4,2255,6,103,2,2,"0","0","Yes","Ames17-GT-0453","E10","Ames17-CT-18H_Ames17-EN-2255_CML 336_73.lcd",0.283250546,10.32577795,5.521465763,0.588998994,31.58296664,6.944649932,16.13049426,39.11661557,55.24710982
"Ames17-Toc-12H","Ames17-EN-2306",3883602,3883348,"17SJMY:2306",1776,"MR19 (Santo Domingo)","Ames 30533",2017,4,2306,7,103,2,2,"0","0","Yes","Ames17-GT-1298","G11","Ames17-CT-12H_Ames17-EN-2306_MR19 (Santo Domingo)_101.lcd",0.477240578,16.98103728,7.919864201,1.385295142,59.37710638,1.458216363,25.37814206,62.22061788,87.59875994
"Ames17-Toc-12H","Ames17-EN-2335",3883631,3883377,"17SJMY:2335",1626,"CI 317B","CIze 317",2017,4,2335,8,103,2,3,"0","0","Yes","Ames17-GT-1449","H07","Ames17-CT-12H_Ames17-EN-2335_CI 317B_110.lcd",0.457084799,8.443538244,14.70782675,1.628859554,41.12346826,12.41033265,23.6084498,55.16266046,78.77111026
"Ames17-Toc-14H","Ames17-EN-2386",3883678,3883424,"17SJMY:2386",1787,"NC300","Ames 27146",2017,4,2386,9,103,2,3,"0","0","Yes","Ames17-GT-0263","F10","Ames17-CT-14H_Ames17-EN-2386_NC300_86.lcd",0.442740955,11.75325648,14.64003475,0.049302857,2.8699294,10.90785645,26.83603218,13.8270887,40.66312089
"Ames17-Toc-06H","Ames17-EN-2416",3883707,3883453,"17SJMY:2416",1540,"TZEI 12","PI 641072",2017,4,2416,10,104,2,3,"0","0","Yes","Ames17-GT-0925","C07","Ames17-CT-06H_TZEI 12_Ames17-EN-2416_43.lcd",0.399878632,6.789483688,4.867267111,2.21761518,33.76452305,1.069886612,12.05662943,37.05202485,49.10865428
