"Year","Tier","Range","Pass","Gen","Pedigree","Source"
2015,3,7,44,774,"Oh422","NSL 68211"
2015,3,16,48,1053,"779","PI 601376"
2015,3,22,65,1251,"Va39","Ames 19012"
2015,3,26,55,1363,"PHPR5","PI 559945"
2015,3,23,60,1276,"Mo39","Ames 28937"
2015,2,28,31,255,"W 5579","Ames 22058"
2015,2,23,24,99,"4659 INBRED","PI 415090"
2015,3,2,60,643,"A670","Ames 23494"
2015,2,34,9,415,"C7e","Ames 22013"
2015,3,11,64,916,"B90","PI 527699"
2015,2,37,31,525,"ND249","PI 550530"
2015,2,33,26,400,"OC17","PI 596504"
2015,3,9,59,851,"H19","Ames 26775"
2015,2,24,23,128,"A661","PI 607521"
2015,2,28,23,247,"Me 100","Ames 22038"
2015,3,35,47,1628,"A171","NSL 42878"
2015,3,8,58,819,"PHG83","PI 601229"
2015,3,11,41,895,"LIBC 4","PI 555650"
2015,2,26,2,168,"G15 T134","PI 340824"
2015,2,31,17,332,"A619HT","Ames 23458"
2015,2,27,3,199,"C13","PI 587126"
2015,2,39,21,576,"NC364","Ames 27178"
2015,3,37,51,1692,"E680-2-1-3(S5) INBRED","PI 221788"
2015,2,29,32,286,"W37A","NSL 30073"
2015,3,15,43,1017,"OC14","PI 596501"
2015,2,32,17,362,"A71","NSL 42875"
2015,3,35,60,1641,"PHG39","PI 600981"
2015,3,33,51,1571,"NC302","Ames 27147"
2015,2,21,16,31,"Me 123","Ames 22040"
2015,3,26,60,1367,"A644","Ames 23479"
2015,2,32,3,349,"CM155","Ames 27034"
2015,3,39,43,1746,"Va46","Ames 19013"
2015,3,7,47,777,"MS200","Ames 24737"
2015,2,35,4,440,"A619Ht2","Ames 25220"
2015,3,23,61,1277,"Va24","Ames 19008"
2015,2,40,15,600,"CHI-41","PI 391660"
2015,2,21,21,36,"CM48","Ames 22747"
2015,2,29,26,280,"4655 INBRED","PI 415089"
2015,2,25,28,162,"42","PI 233312"
2015,3,22,38,1225,"AusTRCF 305841","NSL 437915"
2015,3,27,55,1394,"Va35C","Ames 14115"
2015,2,38,26,550,"CI 40A","CIze 40"
2015,3,31,47,1505,"CI 92","Ames 28953"
2015,2,35,29,463,"A618","Ames 23457"
2015,2,24,16,121,"IA2132","PI 587134"
2015,3,26,66,1373,"WXI198","Ames 26747"
2015,3,20,61,1185,"CI 91C","Ames 26137"
2015,3,3,39,648,"OQ603","PI 601584"
2015,2,24,27,131,"MS12","Ames 24706"
2015,2,22,9,55,"Inbred 6-907","PI 236997"
2015,2,34,28,432,"A617","Ames 23456"
2015,3,5,45,716,"SD43","PI 518660"
2015,2,21,28,43,"ND1","NSL 32723"
2015,3,40,42,1775,"MR14 (Longfellow Flint)","Ames 30531"
2015,3,27,68,1406,"AusTRCF 305802","NSL 437878"
2015,2,37,32,526,"OC4","PI 553057"
2015,2,31,9,325,"A374","Ames 23427"
2015,2,30,18,302,"PHJ75","PI 601776"
2015,3,12,44,928,"PHR47","PI 601572"
2015,3,7,56,786,"W64A ae","Ames 26767"
2015,2,22,17,63,"T9","PI 340819"
2015,2,24,29,133,"C18","Ames 22017"
2015,2,36,25,490,"Pa392","PI 517968"
2015,2,25,3,139,"C5","Ames 26813"
2015,3,35,67,1647,"Hi61","PI 641243"
2015,2,28,13,239,"W117HT","Ames 8399"
2015,2,27,28,222,"NJ 159","Ames 22047"
2015,2,20,18,10,"W 3722","Ames 22054"
2015,3,12,59,943,"C123","Ames 19313"
2015,2,20,26,14,"A424","Ames 23434"
2015,2,34,22,426,"A684su","PI 567792"
2015,2,20,9,5,"Mt42","Ames 20140"
2015,3,33,48,1568,"LH60","PI 601404"
2015,3,8,66,826,"PHN82","PI 601783"
2015,3,35,55,1636,"AusTRCF 305795","NSL 437871"
2015,3,17,54,1088,"NC342","Ames 27167"
2015,2,31,4,320,"A239","Ames 23405"
2015,3,26,62,1369,"Va35","PI 587150"
2015,2,35,1,437,"MS100","Ames 24726"
2015,2,41,6,618,"Mo46","PI 583351"
2015,3,24,55,1301,"Pa762","Ames 27184"
2015,3,14,60,1002,"6M502A","PI 546484"
2015,3,6,58,759,"Yu796_NS","Ames 27196"
2015,2,30,13,299,"BAI TOU SHUANG IN.(JI 095","PI 405711"
2015,3,22,51,1238,"PHM10","PI 601778"
2015,2,28,12,238,"A674","Ames 23498"
2015,2,40,13,598,"14H-588-68(B)","PI 358523"
2015,3,36,43,1655,"Va17","Ames 19002"
2015,3,3,63,672,"WXB14","Ames 26744"
2015,3,36,63,1675,"TZSTRI113","PI 639937"
2015,2,20,3,3,"Il14H","Ames 27118"
2015,3,5,39,710,"27A-317-68(C)","PI 358525"
2015,3,4,64,703,"E205-1-1-1 INBRED (S5 SYN. ANVELD)","PI 221747"
2015,2,23,31,105,"S 3","PI 535901"
2015,2,33,7,383,"AD 175","Ames 28973"
2015,2,26,21,186,"ND211","NSL 32725"
2015,3,7,58,788,"SD59","PI 538231"
2015,2,38,30,554,"CH157","Ames 22441"
2015,3,30,59,1488,"CI 83A","CIze 83"
2015,3,21,43,1199,"AusTRCF 306294","NSL 437980"
2015,2,39,5,560,"MS72","Ames 24713"
2015,3,23,41,1259,"I198","Ames 24590"
2015,2,37,12,507,"BO9","PI 601007"
2015,3,9,46,838,"Va102","PI 587151"
2015,2,27,8,204,"S 14","PI 369439"
2015,2,24,9,114,"A223","Ames 23404"
2015,3,30,55,1484,"GE72","Ames 10255"
2015,3,38,53,1726,"NO. 1032 INBRED","PI 303928"
2015,3,10,55,877,"CI 75","Ames 26134"
2015,2,33,19,393,"CS405","PI 559916"
2015,3,5,65,736,"W 6366","Ames 22059"
2015,3,35,39,1621,"CI7","CIze 7"
2015,2,27,30,224,"ND259","PI 550571"
2015,2,22,4,50,"226","PI 233314"
2015,2,35,15,450,"Ms100","Ames 22442"
2015,3,12,62,944,"OC18","PI 596505"
2015,3,39,41,1744,"Va12C","Ames 14113"
2015,2,33,6,382,"IA2132 Goodman-Buckler","Ames 28364"
2015,2,29,5,261,"A502","Ames 23445"
2015,3,3,50,659,"R218","NSL 29305"
2015,3,2,49,636,"A166","Ames 23398"
2015,3,11,63,915,"NC264","PI 520774"
2015,3,18,45,1111,"AusTRCF 306236","NSL 437931"
2015,3,14,65,1007,"Mo45","PI 583350"
2015,3,39,60,1763,"NC368","Ames 27180"
2015,2,38,9,533,"MS214","Ames 24743"
2015,3,23,48,1266,"HB8229","PI 601564"
2015,2,30,26,310,"P39M96","Ames 22048"
2015,3,11,54,907,"NY 159 (Neveh Yaar)","PI 200182"
2015,2,38,19,543,"CH9","Ames 27068"
2015,2,30,20,304,"A662","PI 607522"
2015,3,19,58,1152,"P8","Ames 26021"
2015,3,13,41,955,"H71","Ames 26793"
2015,3,7,43,773,"Os420","NSL 65874"
2015,2,31,19,333,"A625","Ames 23461"
2015,3,33,44,1564,"CML 323","Ames 27097"
2015,3,4,55,694,"B21","NSL 65868"
2015,2,39,19,574,"Chi-tan 120","PI 427111"
2015,2,22,26,72,"Prior B","PI 433486"
2015,3,21,44,1200,"AusTRCF 306344","NSL 438030"
2015,2,38,29,553,"Ill 101Q","Ames 22033"
2015,2,34,23,427,"Ms71","PI 587137"
2015,2,39,6,561,"MS79","Ames 24719"
2015,3,15,54,1027,"STRAIN T33-399-68(B)","PI 358538"
2015,3,9,50,842,"MS67","Ames 24710"
2015,3,30,49,1478,"AD SA15","Ames 29015"
2015,3,25,62,1338,"AusTRCF 306290","NSL 437976"
2015,2,37,4,500,"A682","PI 587143"
2015,2,39,8,563,"MS211","Ames 24742"
2015,2,36,32,496,"4F-234 BX 4","PI 198892"
2015,3,23,59,1275,"Mo32W","Ames 28932"
2015,3,30,64,1492,"CI 34","Ames 26127"
2015,2,37,2,498,"A686su","PI 567794"
2015,2,30,29,313,"SD57","PI 538235"
2015,2,21,15,30,"Me 121 Wa","Ames 22039"
2015,2,26,12,177,"Prior C","PI 433487"
2015,2,30,19,303,"PHN37","PI 601781"
2015,2,21,24,39,"A401","Ames 23430"
2015,3,21,64,1219,"R159","NSL 30890"
2015,2,35,22,457,"A310","Ames 23419"
2015,2,30,5,291,"A13-2 INBRED (POTCHEFSTROOM PEARL)","PI 221733"
2015,2,24,19,124,"A646","Ames 23481"
2015,3,10,39,862,"52220","Ames 2336"
2015,2,28,4,230,"A322","Ames 23422"
2015,3,24,47,1295,"H46","Ames 26786"
2015,3,22,47,1234,"NO. 1026 INBRED","PI 303927"
2015,2,26,16,181,"W182B","NSL 30062"
2015,3,12,47,931,"H84","PI 587128"
2015,2,30,32,316,"LH160","PI 539920"
2015,3,10,49,871,"R802A","NSL 117226"
2015,2,23,20,95,"PHK05","PI 601467"
2015,2,37,25,520,"Oh43","Ames 19288"
2015,3,26,54,1362,"PHP85","PI 559944"
2015,2,29,23,277,"MS226","Ames 24751"
2015,3,23,62,1278,"Va30","Ames 19009"
2015,3,8,67,827,"SD40","PI 606768"
2015,3,23,56,1272,"LH1","PI 644101"
2015,3,31,43,1503,"A302-1-2(S10) INBRED (SERVENTINA)","PI 221811"
2015,3,39,68,1770,"Mo28W","Ames 28928"
2015,3,32,68,1557,"Oh43 sh2","Ames 26766"
2015,3,40,65,1798,"NO. 1266 INBRED","PI 303941"
2015,3,25,52,1329,"B46","PI 550469"
2015,2,38,32,556,"A622","Ames 23459"
2015,2,22,25,71,"4664 INBRED","PI 415091"
2015,3,3,49,658,"R216","NSL 29303"
2015,2,39,17,572,"NIU 11","PI 391670"
2015,2,37,21,516,"DA BA TANG INB. (JI 0241)","PI 405712"
2015,3,2,59,642,"A669","Ames 23493"
2015,3,19,62,1156,"MDF-13D","PI 600956"
2015,2,34,25,429,"A427","Ames 23435"
2015,2,40,26,611,"IBC2","PI 601459"
2015,2,36,29,493,"5120B","NSL 30905"
2015,2,37,5,501,"4F-342 CM 4","PI 198901"
2015,3,32,37,1527,"AusTRCF 306312","NSL 437998"
2015,3,4,49,688,"Ab18","PI 542937"
2015,3,24,44,1292,"R76","NSL 30875"
2015,3,12,67,949,"MS132","Ames 24730"
2015,3,4,56,695,"A258","NSL 81596"
2015,3,17,59,1093,"B91","PI 527700"
2015,3,27,58,1396,"W22","NSL 30053"
2015,3,5,68,738,"A15","Ames 23389"
2015,3,26,68,1375,"H22w","Ames 26776"
2015,2,36,27,491,"SD44","PI 524969"
2015,2,37,3,499,"H99","PI 587129"
2015,3,12,50,934,"NY6371","PI 610494"
2015,3,24,64,1310,"CI 4A","Ames 28948"
2015,3,23,63,1279,"Va37","Ames 19010"
2015,3,19,64,1158,"G80","PI 601037"
2015,2,21,25,40,"C49","Ames 28290"
2015,3,37,45,1686,"Mo25W","Ames 20118"
2015,3,6,43,744,"MS78","Ames 24718"
2015,2,40,20,605,"LH54","PI 601316"
2015,2,28,6,232,"PHJ40","PI 601321"
2015,2,27,23,217,"ND265","PI 546494"
2015,3,12,68,950,"CI 40H","Ames 26128"
2015,3,7,42,772,"R851","NSL 42807"
2015,3,35,52,1633,"Mo16W","PI 558531"
2015,2,21,1,17,"C38","Ames 23506"
2015,2,33,21,395,"AusTRCF 305819","NSL 437893"
2015,2,22,16,62,"CO117","Ames 27039"
2015,2,27,29,223,"ND257","PI 550561"
2015,2,25,25,159,"ND474","NSL 32739"
2015,2,21,12,27,"CL19","Ames 27026"
2015,2,22,18,64,"G22 T122","PI 340821"
2015,2,26,28,192,"ND256","PI 550554"
2015,2,41,22,626,"LH52","PI 601360"
2015,3,17,51,1085,"2 KM 368 INBRED","PI 267166"
2015,2,39,7,562,"MS80","Ames 24720"
2015,2,27,2,198,"CO109","PI 587125"
2015,3,11,49,902,"W117","PI 587153"
2015,2,40,19,604,"MBNA","PI 601209"
2015,3,12,64,946,"PHG35","PI 601008"
2015,2,22,22,68,"CMV3","Ames 27104"
2015,3,4,44,683,"B89","PI 509542"
2015,2,32,22,366,"A640","Ames 23477"
2015,3,40,53,1786,"NC296","Ames 27144"
2015,3,6,44,745,"MS106","Ames 24727"
2015,2,37,9,504,"B103","PI 594046"
2015,3,13,66,978,"B7","NSL 65863"
2015,2,30,7,293,"NO. 1004 INBRED","PI 303925"
2015,3,24,42,1290,"W374B","NSL 30068"
2015,2,36,20,486,"YING-55","PI 391665"
2015,2,26,4,170,"PLS 61/10870 subline-1","PI 343953"
2015,2,37,20,515,"11430","PI 601558"
2015,3,37,68,1709,"83IBI3","PI 555651"
2015,3,10,62,884,"NC260","Ames 27140"
2015,2,33,30,404,"NY 121 (Neveh Yaar)","PI 340812"
2015,2,25,16,150,"A508","Ames 23446"
2015,3,6,45,746,"B107","PI 597925"
2015,3,17,46,1082,"Mo17 +/su","Ames 26764"
2015,3,26,51,1359,"WFg 3-9","Ames 2340"
2015,2,27,31,225,"ND260","PI 550573"
2015,3,20,41,1167,"NC262A","Ames 28412"
2015,2,38,27,551,"R219","NSL 29314"
2015,3,7,52,782,"R-28-2","PI 340863"
2015,3,17,40,1076,"MS204","Ames 24740"
2015,2,25,24,158,"A678","Ames 23502"
2015,3,23,40,1258,"4722","PI 587130"
2015,3,12,57,941,"C103","Ames 19284"
2015,3,13,58,971,"W22R","NSL 30067"
2015,3,26,38,1346,"T8144 INBRED","PI 267167"
2015,3,3,58,667,"A660","NSL 81600"
2015,2,23,14,89,"NO. 380","PI 303924"
2015,2,27,27,221,"NJ 116 Wb","Ames 22046"
2015,2,21,11,26,"CL18","Ames 27025"
2015,3,12,52,936,"Mo49","PI 634207"
2015,3,14,47,990,"NC334","Ames 27163"
2015,3,32,59,1549,"Pa871","Ames 19324"
2015,2,38,8,532,"BO46W","PI 591022"
2015,3,22,68,1254,"C40","Ames 22022"
2015,2,32,16,361,"A556","Ames 23450"
2015,2,22,15,61,"CMV3","Ames 27038"
2015,2,37,30,524,"GTS1","PI 550492"
2015,3,9,56,848,"PHG50","PI 601006"
2015,3,33,53,1573,"SC235","Ames 10277"
2015,2,27,21,216,"PHJ65","PI 543840"
2015,3,5,48,719,"B93","PI 539871"
2015,3,13,48,961,"PHR62","PI 601786"
2015,2,26,5,171,"CO150","Ames 27041"
2015,3,25,39,1317,"R903B","NSL 29285"
2015,2,22,3,49,"176","PI 233313"
2015,2,21,10,25,"CL17","Ames 27024"
2015,2,38,3,529,"MS68","Ames 24711"
2015,3,40,50,1783,"Tx441","NSL 43597"
2015,3,35,65,1645,"TZEI 10","PI 641070"
2015,3,27,52,1391,"245","NSL 8579"
2015,2,28,5,231,"W182BN","PI 587155"
2015,2,21,20,35,"C49A","Ames 27067"
2015,3,21,42,1198,"AusTRCF 306293","NSL 437979"
2015,2,31,27,341,"MS24A","Ames 24708"
2015,3,6,53,754,"Hi47","PI 641229"
2015,2,34,17,422,"A34","Ames 23391"
2015,2,40,28,613,"IBB14","PI 601565"
2015,3,40,48,1781,"H124w","Ames 26806"
2015,3,38,60,1733,"TZEI 8","PI 641068"
2015,3,27,43,1382,"CI 42B","Ames 28951"
2015,3,30,44,1474,"CI 7 Goodman-Buckler","Ames 28367"
2015,3,11,45,898,"R941","NSL 29287"
2015,3,31,61,1519,"A","NSL 30861"
2015,2,39,32,586,"W182D","NSL 30063"
2015,3,27,63,1401,"CI 3A","Ames 26116"
2015,2,33,5,381,"A619E","Ames 28170"
2015,3,17,60,1094,"LH195","PI 537097"
2015,2,26,18,183,"LH163","PI 538008"
2015,2,23,10,85,"ND251","PI 550532"
2015,3,18,60,1124,"B109","PI 597927"
2015,3,37,41,1682,"AusTRCF 305821","NSL 437895"
2015,3,11,55,908,"NY 318 (Nevey Yaar)","PI 200187"
2015,3,33,54,1574,"NC222","Ames 12729"
2015,2,34,20,425,"A264","Ames 23409"
2015,3,15,44,1018,"B108","PI 597926"
2015,2,24,28,132,"MS24","Ames 24707"
2015,3,36,37,1649,"NO. 1175 INBRED","PI 303937"
2015,2,28,8,234,"PHR25","PI 601469"
2015,2,23,29,103,"ND262","PI 522250"
2015,2,31,8,324,"N216","PI 596355"
2015,3,28,67,1435,"T226","PI 550521"
2015,2,24,12,117,"A450","Ames 23437"
2015,2,26,10,176,"4550. INBRED","PI 415080"
2015,3,17,65,1099,"LH213","PI 547090"
2015,3,6,55,756,"58609 A632 (Meth) Bc5S4","PI 648424"
2015,2,22,5,51,"S43","Ames 23510"
2015,3,4,62,701,"AusTRCF 306323","NSL 438009"
2015,2,28,1,227,"A96","Ames 23393"
2015,2,20,28,16,"A499","Ames 23443"
2015,3,8,60,821,"PHT60","PI 601574"
2015,3,31,63,1521,"L317","NSL 65873"
2015,2,39,20,575,"SD42","PI 508277"
2015,3,11,46,899,"R825","NSL 42805"
2015,3,25,54,1331,"R105","NSL 242483"
2015,2,23,13,88,"F39","PI 257516"
2015,2,35,28,462,"W182E","NSL 30074"
2015,3,25,46,1324,"R134","NSL 30884"
2015,2,40,27,612,"PHK76","PI 601496"
2015,3,21,62,1217,"R105","NSL 30880"
2015,2,31,10,326,"A375","Ames 23428"
2015,3,31,64,1522,"Mo304ae","NSL 67789"
2015,3,3,57,666,"A659","NSL 81599"
2015,3,21,57,1212,"Pa879","PI 517973"
2015,2,25,18,152,"K","NSL 30862"
2015,3,24,48,1296,"H96","Ames 26797"
2015,3,35,53,1634,"Mo313ae","NSL 67798"
2015,3,22,60,1246,"Va21A","Ames 19004"
2015,2,31,32,346,"W 6728","Ames 22064"
2015,2,38,10,534,"WXOs420","Ames 26756"
2015,2,36,18,484,"B-18 INBR.FR.SUPERGOLD","PI 340855"
2015,3,4,46,685,"AD SA21","Ames 29021"
2015,3,7,67,797,"OC10","PI 553063"
2015,2,26,9,175,"CHAN 11 INBRED","PI 405705"
2015,3,14,66,1008,"H125","PI 583847"
2015,3,39,48,1751,"Hi33","PI 593014"
2015,3,38,55,1728,"R-PAH-1","PI 340872"
2015,2,41,29,629,"MBST","PI 601566"
2015,3,19,60,1154,"CI 30","Ames 26124"
2015,2,32,5,351,"A288","Ames 23414"
2015,3,27,56,1395,"Va60","Ames 19017"
2015,2,25,27,161,"A15-1 INBRED (POTCHEFSTROOM PEARL)","PI 221735"
2015,3,4,53,692,"R197","NSL 30902"
2015,2,26,20,185,"RS 710","PI 539930"
2015,3,29,51,1450,"B85","PI 608777"
2015,2,39,26,581,"MBUB","PI 548839"
2015,3,35,50,1631,"B56","PI 550471"
2015,3,28,41,1411,"AusTRCF 306301","NSL 437987"
2015,3,16,52,1057,"N6","Ames 27137"
2015,3,16,66,1070,"K150","NSL 22630"
2015,2,33,8,384,"A641 Goodman-Buckler","Ames 32877"
2015,3,20,46,1172,"89S4145","Ames 12821"
2015,3,8,65,825,"PHN73","PI 601782"
2015,3,30,54,1483,"Lai 1029","Ames 2327"
2015,3,39,57,1760,"NC340","Ames 27166"
2015,2,28,32,256,"W 6786","Ames 22066"
2015,3,10,46,868,"A634","Ames 19308"
2015,3,3,53,662,"A357","Ames 23426"
2015,2,30,14,300,"HUO BAO MI (JI 0235)","PI 405714"
2015,3,6,46,747,"78371A","PI 601438"
2015,2,39,14,569,"H26w","Ames 26778"
2015,3,15,40,1014,"AusTRCF 305834","NSL 437908"
2015,3,3,65,674,"E292-1-1-1 INB(S5 SYN ANVELD X MINN.706)","PI 221750"
2015,2,32,8,354,"A340","Ames 23424"
2015,2,36,1,467,"4F-240 BX 16","PI 198893"
2015,2,32,6,352,"A305","Ames 23417"
2015,2,38,12,536,"W64A ae/wx","Ames 26768"
2015,2,20,17,9,"Me 135","Ames 22041"
2015,3,10,68,890,"Mo20W","PI 550442"
2015,3,13,67,979,"I 205","NSL 65871"
2015,3,14,49,992,"AusTRCF 306321","NSL 438007"
2015,3,26,41,1349,"WIL901","PI 601685"
2015,3,10,61,883,"CSJ3","Ames 27057"
2015,2,27,7,203,"K 10","PI 369438"
2015,2,39,11,566,"B-22 INBR.FR.SUPERGOLD","PI 340857"
2015,3,7,54,784,"A632 su/su","Ames 26762"
2015,2,31,21,335,"ND300","PI 607527"
2015,2,23,3,79,"S 97","PI 535924"
2015,3,29,62,1460,"LH194","PI 539923"
2015,3,7,48,778,"MS216","Ames 24745"
2015,2,37,19,514,"PHN11","PI 601497"
2015,3,36,66,1676,"CI 44","CIze 44"
2015,2,40,7,592,"NY 971 (Neveh Yaar)","PI 200194"
2015,2,23,6,81,"469","PI 233316"
2015,2,38,5,530,"BO385Y","PI 591014"
2015,3,5,53,724,"B66","PI 550464"
2015,3,35,61,1642,"AusTRCF 306316","NSL 438002"
2015,2,34,24,428,"A679","PI 587142"
2015,3,24,37,1285,"H112","Ames 22750"
2015,2,35,31,465,"A672","Ames 23496"
2015,2,27,1,197,"PHR30","PI 559946"
2015,3,37,49,1690,"A21-4-1 INBRED (HICKORY KING)","PI 221739"
2015,2,22,6,52,"MS93","Ames 24725"
2015,2,21,8,23,"CM174","Ames 19316"
2015,3,24,38,1286,"K55","Ames 22754"
2015,3,6,66,766,"R902A","NSL 29284"
2015,3,16,56,1061,"A663","PI 607523"
2015,2,21,14,29,"Me 1","Ames 22037"
2015,3,34,67,1617,"INBRED 19-86","PI 186217"
2015,2,23,16,91,"G3 T5a","PI 340818"
2015,3,19,68,1162,"NC290A","Ames 27141"
2015,3,39,64,1767,"TZAR101","PI 654048"
2015,3,29,67,1465,"A632 sh2/sh2","Ames 26761"
2015,3,20,59,1183,"R2","NSL 30865"
2015,3,15,55,1028,"A564N","PI 406122"
2015,2,41,24,628,"FBHJ","PI 601439"
2015,3,25,63,1339,"AusTRCF 306337","NSL 438023"
2015,2,30,8,294,"NO. 1185 INBRED","PI 303938"
2015,2,23,25,100,"ND2000","PI 631394"
2015,2,21,17,32,"CO192","Ames 27043"
2015,3,37,58,1699,"A14NW","PI 406106"
2015,2,39,28,583,"LH222","PI 559375"
2015,3,32,50,1540,"TZEI 12","PI 641072"
2015,2,29,6,262,"A588","Ames 23455"
2015,3,3,68,676,"T242","PI 340830"
2015,3,27,61,1399,"IDS91","Ames 24577"
2015,2,36,22,488,"AD SA19","Ames 29019"
2015,3,27,37,1376,"LH156","PI 601403"
2015,3,22,59,1245,"Va36A","Ames 14116"
2015,3,34,55,1606,"NC332","Ames 27162"
2015,2,21,18,33,"CO220","Ames 27045"
2015,2,34,2,408,"PHT77","PI 601499"
2015,3,20,66,1190,"R914","NSL 30910"
2015,3,9,62,854,"J8606","PI 601725"
2015,3,21,49,1205,"R-4524","PI 340837"
2015,3,25,40,1318,"R220","NSL 29316"
2015,2,30,15,1,"B73","14SJMY:Breed:0001"
2015,3,28,56,1425,"R901","NSL 29282"
2015,3,5,54,725,"B76","PI 550483"
2015,2,22,32,76,"ND405","NSL 32730"
2015,3,22,62,1248,"PHW86","PI 543850"
2015,2,29,19,273,"4533. INBRED","PI 415078"
2015,2,25,22,156,"A675","Ames 23499"
